Gene,log2FC,pvalue
TMBIM6,0.295102314,7.46E-13
SNRPA,0.003156477,0.955008925
TUFT1,0.103920853,0.105599267
DBT,-0.117937072,0.085369663
RNF114,0.096095075,0.073242756
MRPL36,0.202613753,0.032798518
RAB40C,0.176201961,0.191718894
HSD17B12,0.179347816,0.000290205
EBLN2,0.100782648,0.417367784
VPS25,0.242133589,0.000411552
ENTPD6,0.256446455,0.006551956
WDR7,-0.192650938,0.002298343
PPP1R35,0.388507545,0.000225724
PIGH,0.381447276,0.000136822
ZNF341,-0.11762122,0.464450622
GPAT3,0.097019498,0.170431544
HFE,0.00353832,0.964823095
PLEKHS1,0.065461376,0.574228613
AL139011.2,0.104836851,0.540145788
RTL6,-0.207101003,0.000543259
KIAA2013,0.28958329,0.000711085
LHFPL2,-0.244140773,0.163777761
CDH1,0.038564586,0.504101883
FRMPD2,-0.020677857,0.708896653
FLYWCH2,0.351492024,0.001354859
RAP1GAP2,-0.045038536,0.7897764
STEAP2,0.000518081,0.989187081
FRA10AC1,-0.000678653,0.993694414
GALNT2,0.087794514,0.095845706
MMP24,0.061491689,0.375412371
LRRC46,-0.044628219,0.773341857
MINPP1,0.304369942,0.000529377
NNT,-0.025819026,0.533087452
BMP1,-0.077905933,0.569859755
VILL,-0.031954942,0.819234889
SCUBE2,0.057130104,0.318562081
IMP3,0.23780233,0.001406799
TMEM74,-0.03906349,0.494735803
AC068790.8,0.0406805,0.470035763
YBX3,-0.036871681,0.432069834
ACTR1B,0.243989455,0.010797702
RBM7,0.053327177,0.537814809
DDRGK1,0.265949585,6.83E-05
EPN1,0.204949769,0.050528356
DHRS1,0.356821727,0.044301804
CD226,-0.003263188,0.980592335
RPL41,0.327478827,0.003406602
COG2,0.067826587,0.372570744
ESD,0.109844637,0.045462466
ERI3,0.21684877,0.004787419
FOXD4L1,-0.018981464,0.729678772
SASH3,0.152863446,0.003278372
SBF1,0.092156824,0.283968403
CDC37,0.104892266,0.025021725
TIGAR,0.208940805,0.100318838
GGT5,-0.018906205,0.731474781
INPPL1,0.029569793,0.72724917
TXN,-0.036637404,0.543007678
PSMD1,-0.114727828,0.019045779
SNX19,0.08243951,0.118609259
INCA1,-0.012658435,0.912030869
MRPS26,0.287715046,0.000381974
UTP3,-0.064417807,0.368454072
FAM96A,0.228526451,0.001342115
ACSL3,0.11994503,0.022595926
NOP16,0.118318762,0.125015437
ITGB1,0.280050749,4.00E-11
MYLIP,-0.062721515,0.709630978
SYNPO2L,0.001606947,0.984135531
MRS2,0.108715714,0.309545973
RPLP2,0.249108976,2.14E-05
ALDH9A1,0.088148891,0.174651176
BCL2L1,0.016243449,0.79229985
SNF8,0.190954231,0.002029456
ARFGAP2,0.17718604,0.01444016
ELOF1,0.200523648,0.005655378
IAH1,0.232506724,0.002254352
CYSLTR2,-0.162319441,0.167363813
CMTM6,0.198613703,2.16E-06
EEF1G,0.273238983,6.87E-08
FBXW9,0.338547884,0.054458571
GLTP,0.164869665,0.030688455
KLHL22,0.117159172,0.403250333
RAB33A,0.041462672,0.435201363
PYROXD2,0.145684065,0.337857724
GRPEL1,0.160253875,0.023719082
RECQL,-0.031745106,0.511285187
ACADS,0.183485977,0.246370283
MYO10,-0.038163602,0.461193486
OPA1,-0.169111521,0.002206468
ZNF786,0.265987289,0.015226092
BRSK1,-0.160034696,0.237852211
PDE2A,-0.025523875,0.798745144
NACA,0.045412543,0.470734219
COG4,0.13755976,0.077681244
HYDIN,-0.100411513,0.471228327
TMEM92,0.022213438,0.676805649
DNAJC21,-0.041195043,0.538128893
AC024592.3,0.011427402,0.945980873
TMEM238,0.11683226,0.512790179
TEC,0.171338899,0.333837235
XRN1,-0.110361707,0.132360933
TMEM87B,0.176093597,0.105483388
AL139353.1,0.233113509,0.150451339
TMEM229B,0.003565009,0.985067913
CYB5R1,0.254732699,0.028272006
LZTS2,0.369669882,0.010660497
PALM2-AKAP2,-0.043300792,0.799709451
EML4,-0.301398911,2.46E-08
SVEP1,0.018768545,0.724785139
GZF1,-0.000599301,0.994271751
CFAP20,0.139913098,0.041057414
SPPL2B,0.252720036,0.077041191
MRPL30,0.12552979,0.051793226
LGALS9C,0.117258949,0.5109836
NPIPB3,-0.323032847,0.051221519
MTIF3,0.342810058,0.004604138
TOMM40,0.062886508,0.35598182
PWWP2A,0.007201552,0.921591397
NPY,-0.032579295,0.533470441
TRAF1,0.011861777,0.893829945
CEP85L,-0.099560311,0.366117252
ALG13,-0.010744869,0.903601921
MRPS17,0.115891627,0.236353231
PYGB,0.031769333,0.675395041
TSPYL4,-0.068445029,0.406862364
ZNF432,0.041882278,0.769065149
PLCB3,-0.1729792,0.274121718
P2RX5,-0.156089852,0.072320384
NEURL4,-0.173256685,0.042504449
ELP2,0.148992752,0.005054039
AL080251.1,0.032628928,0.668111777
MYLK3,0.003281714,0.965761764
TXN2,0.291842985,8.59E-06
POU3F3,-0.393896531,0.020695349
C1R,-0.11449532,0.298227188
PIGF,0.232427873,0.052147992
NKTR,-0.293001508,2.44E-05
NCSTN,0.202366997,0.002873967
RPS29,0.121654068,0.395588195
AGAP6,0.010526543,0.948497443
MARCH9,0.228554164,0.018494657
DNAJC7,-0.035706641,0.492208729
SPIN2A,0.029598276,0.831114567
MDH2,0.140706325,0.004566739
ADGRF3,-0.164492666,0.296915779
SOGA3,-0.0481042,0.784883479
STXBP2,0.185634466,0.106264921
EXOC1,-0.009272178,0.931581736
IRAK4,0.183639749,0.01328549
KCNB1,0.162081341,0.323871326
GSTM4,0.065109549,0.697024901
C6orf163,-0.021109737,0.841441782
BOD1,0.059308274,0.573981352
MYPOP,0.139033031,0.272601945
PRKCI,0.037705362,0.527434688
OGG1,0.288799206,0.030820484
SIKE1,-0.008713713,0.87187551
BAIAP2L2,0.039098599,0.721243358
ZNHIT2,0.354220983,0.031009413
CRIPT,0.363727184,0.00023261
PPP1R12B,-0.351636005,1.18E-05
OSBPL8,-0.190830326,0.001501173
MYCBPAP,-0.037720905,0.763900291
GNG2,0.136655093,0.362170278
FSBP,0.235232213,0.148355264
C19orf12,0.081279768,0.336780589
WASHC4,-0.027996659,0.724512503
CD247,0.131632266,0.01441927
YWHAZ,0.087005391,0.007021992
WDR36,-0.189764235,0.000647515
AC011005.1,0.311111486,0.044703643
BNIP3L,0.423574697,1.83E-08
STX3,0.164574807,0.251342838
USP46,-0.219094555,0.05688578
USP8,-0.018101746,0.756952941
UBR1,-0.112693977,0.073829902
ZNF16,0.031099583,0.81745781
CD70,0.022917179,0.835132908
GATS,0.21904461,0.021155133
TAF6,0.019651652,0.809611289
MGAT4B,0.087349461,0.40369262
RNF25,0.098727124,0.368485094
MT-ATP8,0.006163875,0.971946266
PRELID3B,0.114799983,0.02515317
DPH7,0.189629134,0.16577081
HIST1H4K,0.056682547,0.722449391
PIGA,0.155866279,0.161826752
FLOT1,0.20452213,0.000757907
PRPF18,0.059540657,0.492704838
CDKL1,-0.032897856,0.822023614
CYLD,-0.193583253,0.024712435
CSTB,0.320927409,1.34E-06
CXXC1,0.072823843,0.248954047
SYNJ1,-0.130013923,0.134837863
ZNF10,0.10908075,0.262595654
AC009163.4,-0.102541826,0.495900216
MAP7D1,-0.040043853,0.595301283
KCNIP2,0.181340621,0.244091058
CRELD1,1.394265996,3.75E-21
RPUSD2,0.225944303,0.023439411
BGLAP,0.131061112,0.172736677
AC007906.2,-0.033687845,0.544617406
RPL27,0.295927955,0.000612262
DCAF6,0.106580419,0.165577883
CHD6,-0.187635798,0.00219701
OGFOD1,0.015688468,0.818525493
MTHFD2,0.041436757,0.386896217
ADPGK,0.29095164,0.000254146
GSPT1,-0.141864753,0.000130885
DCAF5,0.019570463,0.722808249
CMTM8,0.098626755,0.569703997
EEF1B2,0.327875305,9.83E-05
VCPIP1,-0.249004969,0.000188807
PLAC8L1,-0.063566662,0.406051544
MYO9A,-0.233055984,0.003267966
GPD1,0.055333818,0.40481655
ANKIB1,0.003103702,0.96432387
FEN1,0.017052438,0.735765595
ARL9,0.05416909,0.492685682
EFCAB3,0.052213246,0.371819293
AF241726.2,0.004952574,0.967389531
MRPL21,0.151541717,0.109150978
TNFRSF25,0.023402167,0.783012978
CDC27,-0.043196693,0.357494056
USP16,0.027060354,0.651087473
MLF2,0.163879362,0.00786845
RACK1,0.287368043,1.01E-09
ZNF34,0.154614878,0.312673241
BLOC1S4,0.220513232,0.102820934
MSRB2,0.317134954,0.002733465
RTN2,0.378087056,0.023004918
SHQ1,-0.01903026,0.704279702
FKBP7,0.064007169,0.700749218
RPL30,0.156952219,0.028974019
CDK14,0.063053897,0.496088099
AHSA1,0.129679576,0.002702291
LST1,0.00652949,0.968755111
STK19,0.2526467,0.069228568
ZNF514,-0.103631866,0.495782111
NIPSNAP3B,0.066965112,0.280178657
TOR2A,0.296450934,0.036332468
CCDC113,0.068245743,0.669487032
C6orf226,0.245577044,0.177563608
CDH3,0.299651198,0.050714031
ARL6,0.021224452,0.87219288
C3orf80,-0.135503332,0.425082826
B4GALNT3,-0.221865915,0.189873829
SENP5,-0.047246447,0.399620621
ZNF446,0.110367453,0.465372979
CYB5D1,0.164449017,0.055627988
C16orf86,0.145307785,0.328133932
C7orf73,0.182434664,0.008922055
FTO,-0.038867678,0.497992954
SNX13,0.141519221,0.041409938
RPS9,0.381061268,1.82E-10
SLC26A6,0.344106054,0.003386138
FHDC1,0.04605968,0.644602772
EXOC3,0.099522914,0.172504401
SEC16A,-0.208136203,0.003254005
EYA1,0.051260596,0.35078784
ANKMY1,0.008921015,0.945911643
ATP6V1A,-0.045949403,0.466051586
ALKBH5,0.192900063,0.024570837
PDAP1,-0.031123721,0.593165828
HPCA,0,0.992420803
HIST1H3E,0.453972377,0.013248015
EIF2AK1,0.047083994,0.185006734
RAB1B,0.17242539,0.009348822
RUNDC1,0.095741191,0.213903913
DOLPP1,0.300037709,0.000256794
ST13,-0.005295277,0.910291472
ABCD1,-0.070088905,0.638332016
SPAG1,-0.154224179,0.33533034
PDIK1L,-0.071310214,0.262461757
CNR2,-0.088435607,0.364327331
LITAF,0.155823059,0.137634276
CXorf58,-0.034314779,0.508840197
WDR83,0.017897031,0.893724605
LCN12,0.017503223,0.756123477
KLHL9,0.040074635,0.545833887
OCIAD1,0.150618035,0.007202834
STXBP1,-0.01941434,0.783686833
TGOLN2,-0.029105173,0.51220845
RPL17,0.135435262,0.092933632
KCNJ10,-0.108783373,0.534110913
MRPL22,0.213032593,0.017111095
NDUFA5,0.060037727,0.497459449
PTTG2,-0.015553809,0.767357551
MICALL2,0.033044516,0.538133828
ZSWIM7,0.273402587,0.023398701
SLC35E4,-0.025162118,0.873892139
P2RY10,-0.015534966,0.767497597
CDK9,0.131129113,0.099148473
DNTTIP2,-0.021127616,0.731429935
PTDSS1,0.130549213,0.001934138
ARL5A,-0.125836433,0.074105155
TUBG2,-0.025977848,0.876831236
KCTD10,0.081821433,0.161135885
TMEM70,0.301238645,8.08E-06
RBL2,0.038301743,0.436463557
N4BP1,-0.051744281,0.480701581
MMEL1,0.000643261,0.990199962
RPS18,0.31239784,0.004524074
ELOC,0.045385331,0.626772782
ASNS,0.097449567,0.267251668
ASH1L,-0.310837406,0.000629323
POLD2,0.158254051,0.017364536
AC004076.1,0.048652255,0.360217015
PTX4,0.048561398,0.360968791
SERPINB8,-0.270895282,0.059775285
TOR3A,0.296576884,4.32E-05
POLR2E,0.156270323,0.071217639
DSN1,0.075008272,0.301182022
C17orf80,-0.042392535,0.522344063
PIK3R4,-0.221002521,0.000389514
PPP2R3B,0.066381296,0.562405387
TAS2R31,0.016419623,0.751789392
CSNK1G1,-0.10333043,0.077120586
RAB14,0.041992706,0.434222466
HIVEP3,-0.485136258,6.59E-08
TCF24,0.096123973,0.495362994
ATP5J2-PTCD1,-0.223771142,0.134123502
LYPLA1,0.101784769,0.12154803
RBM14-RBM4,0.29247256,0.090814007
PDGFB,0.050553387,0.512167604
MIEN1,0.33982488,1.58E-05
KBTBD6,0.064593439,0.452475066
PDLIM3,0.064385247,0.673596769
FAM220A,0.202969755,0.043698622
VAPA,0.018300056,0.626787189
PDP2,-0.08984721,0.172774191
GPR37L1,0.031944897,0.554110878
SNX33,-0.050107269,0.771752358
R3HDM4,0.15814946,0.105002219
COQ2,0.179424026,0.215024562
PIGO,0.111961371,0.377200865
INAFM1,0.293590773,0.096894711
SLC16A4,0.053192553,0.609006993
SYPL1,0.057405989,0.342512332
TMEM236,0.051444845,0.715546182
CHAC1,0.200170012,0.267485095
PRRT3,-0.194500701,0.255449106
OTUD3,-0.184321406,0.055551271
CDAN1,0.094273352,0.344186537
GIMAP6,-0.022939484,0.873728647
SETD3,0.138574824,0.011763389
FUK,0.159047163,0.335186552
SLAMF6,-0.025497449,0.841426993
AVPI1,0.296254285,0.09830566
KDM5C,-0.069593859,0.307444007
PANX3,0,0.990375666
TMBIM4,0.418981633,3.96E-05
IRF1,-0.133127366,0.044275954
PAM,0.127591681,0.397214739
CDKN2D,0.368375642,0.000572474
ELF1,-0.120200061,0.00801959
PLPPR2,-0.000362591,0.997552466
JPH3,0.051560625,0.565889591
GPR180,-0.024391282,0.788649939
PLEKHF2,0.231213804,0.012669012
CYP19A1,0.00158886,0.983510037
CFAP99,0.090097709,0.229468067
GPR63,-0.019731711,0.77924849
AC068547.1,0.111935314,0.488407856
TRPT1,0.256105812,0.074153238
NTHL1,0.090977555,0.39233548
MOB1B,-0.246227684,1.48E-05
HERC4,-0.05153809,0.508692211
MPZL3,0.061916802,0.62224704
PPIAL4C,-0.017085678,0.726560081
WTH3DI,0.23605047,0.045315168
AP2S1,0.282650355,9.65E-05
ZNF571,0.122429116,0.433230117
DNAH10OS,-0.024008922,0.889049417
TNFRSF13B,0,0.991806839
ZNF436,-0.002273979,0.98267766
SLA2,0.025601696,0.727054443
SH3BGRL,0.133559978,0.024506105
RREB1,-0.306448465,6.79E-06
XPO7,-0.035684688,0.446912589
USP19,0.030247495,0.710019298
AKT2,0.049279894,0.444890532
KDM4A,-0.049426204,0.431799942
L34079.1,-0.044861498,0.455033155
CYP27A1,-0.014893367,0.879010153
FUNDC2,0.353731634,1.68E-05
UQCR10,0.165397692,0.028469774
AC010132.3,-0.231749676,0.046590953
MINDY3,0.172141306,0.062256873
AC074143.1,0.110695239,0.110124391
ARPC5L,0.0983499,0.219496611
UBA52,0.207550723,4.71E-05
HIKESHI,0.161479312,0.088625344
WDSUB1,-0.006945007,0.961091823
AC138696.1,0.044411459,0.789582257
FKBP4,-0.155897218,0.000114108
VWC2,-0.030682964,0.834436935
FA2H,-0.229266604,0.160432392
TMEM86A,0.221736114,0.172182408
BEX2,0.203981949,0.094992121
PALLD,-0.198312704,0.00016932
C6orf48,0.202228156,0.000201392
BAAT,0.00351268,0.963858924
RSPH14,0.038540294,0.687923599
NUP88,0.043362899,0.446798761
FOSL1,-0.46660256,0.006544282
ATP10D,0.146602581,0.181980104
BIN3,0.247547862,0.006799834
INTS11,0.150163949,0.131297903
TTC30A,-0.012668831,0.91152653
FAM209A,0.106164507,0.147942291
RWDD1,0.187080958,0.031637953
PRKAB1,0.115100423,0.158228887
ATAD3C,-0.019415593,0.7879304
AL513165.2,-0.092288268,0.591301914
APOBEC3B,-0.09640902,0.445837173
C1orf21,-0.080836628,0.552185563
NAXE,0.36630678,2.01E-07
CSNK1A1,0.004344612,0.902302548
UBE2W,0.206420478,0.005182889
NUDT7,0.171419701,0.303732423
ASPHD2,0.013088192,0.926599154
ARHGAP21,-0.300240879,0.001079017
ALOX5,0.153220297,0.222650562
PRKACA,0.097843196,0.179314046
CCZ1,-0.007000944,0.87933725
SLC25A34,0.092055854,0.262934168
ZNF320,-0.176069678,0.113440184
AC099329.3,0.09610156,0.377047079
DTD1,0.053475888,0.653947142
PLCXD2,-0.086585195,0.593524894
NECAB3,0.112432247,0.516587659
DDX3Y,-0.070180522,0.315201633
METTL7B,0.007398554,0.949712437
STARD6,-0.020098135,0.740876913
MFSD4A,0.010028348,0.929907152
LRRIQ4,-0.011942584,0.817977565
RHOG,0.212407351,0.006436916
ARHGDIA,0.143300191,0.041321505
PRKAG2,-0.040002013,0.758481272
TRAPPC8,-0.065088154,0.288687857
COMT,0.277476789,0.000434009
CCDC91,-0.03704599,0.619436689
EPHA1,-0.041936792,0.650983178
PHF12,-0.089314868,0.232815136
BICC1,0.001528887,0.988436598
RUBCNL,-0.117217934,0.005411975
KIAA0319L,0.106849804,0.192571777
ADAMTS7,0.02668971,0.733897057
TBC1D4,-0.115462596,0.496656603
RSL24D1,0.245479587,9.01E-05
TDRD12,-0.122238885,0.064795012
TAB3,-0.230425296,0.007320121
DNAAF4,-0.081687714,0.530038375
FAM83F,-0.005483729,0.964164939
LNX1,-0.171665612,0.304210229
FKBPL,0.234719348,0.099958378
WSB2,0.072949878,0.367445669
TP53I13,0.362754113,0.00850192
GLS,-0.136079638,0.001704311
SCYL2,-0.044923317,0.417434182
AOC1,0.135176469,0.106031539
LPCAT1,0.163978701,0.00483366
COPS3,0.141772859,0.02635531
ZNF19,0.048080398,0.772552907
RPS6KA1,0.136355517,0.028583762
TMEM203,0.217779883,0.061217609
AC020915.1,0.269027041,0.001549646
PPCDC,0.184779516,0.191837736
KLHL5,-0.297851486,0.002454067
FHL2,-0.343084683,0.030181765
TMCC1,-0.116211711,0.31208072
PTPN21,0.024481287,0.703905372
LMF1,0.408845239,0.003631503
GDAP2,0.173631343,0.037072874
UBE2K,-0.109479883,0.041312229
FILIP1,0.024732195,0.686379546
ALX3,0.04517645,0.470814989
TRAPPC10,-0.131671254,0.04997439
SART1,-0.031488029,0.560893481
HSF1,0.117718305,0.183856678
WDR66,0.348987257,0.035033431
ZNF581,0.307329822,0.002660929
TRHDE,0.04627138,0.45964955
MRPS15,0.25977561,0.000647368
LY6G5B,-0.021229564,0.896181856
NAA20,0.204587767,0.016821144
CLTA,0.162171417,0.002786406
ATP1B3,0.130185004,0.028344049
NDOR1,-0.084050883,0.621304469
ZNF81,-0.275661348,0.010703826
LCN10,-0.063270435,0.385114091
SERPINB1,0.252355271,0.001507433
HIST2H4A,0.21654682,0.227995652
FAAP100,0.065283057,0.589228109
TCEANC2,-0.077231334,0.35917419
SNX32,-0.00269205,0.984170783
SRCIN1,-0.031335409,0.842579051
CKM,-0.049526911,0.453036576
TUSC2,0.260054063,0.002225872
AP002360.1,0.10325962,0.547817028
ASCC2,-0.002648675,0.964129285
TOP1MT,0.032801263,0.601511729
FAM91A1,-0.010944914,0.868903651
UBXN10,-0.105853473,0.480567388
UCN,0.225433944,0.02006373
HRNR,-0.06091195,0.261424035
TCP11,0.11515194,0.189836452
DNAJA2,0.056747015,0.34471068
MCRS1,0.163316241,0.01027057
SH3D21,0.025713123,0.884642898
TAPT1,0.06972306,0.267568355
AC108488.2,0.02276798,0.698977655
TBC1D3,0.027124507,0.750810931
SAMHD1,-0.096959217,0.173908411
UBA6,-0.095892977,0.078825537
DNM2,0.102871097,0.088067577
TYMP,-0.021880598,0.75221406
JCHAIN,0.072188979,0.286020452
SULT1A4,0.261332552,0.149853501
PCDHGB4,-0.013949645,0.781550422
ZNF267,0.090368101,0.355053091
GGACT,-0.016230635,0.927511377
PRR5-ARHGAP8,0.022070404,0.71745764
FP565324.1,0.002842968,0.974169529
ALG9,0.127660774,0.079677394
CCDC181,-0.112902917,0.190822079
IRF2BPL,0.175453945,0.097670865
POLDIP2,0.211776922,0.000443705
GOLGA8O,0.022603306,0.700652837
CTNNA3,0.132034812,0.180825928
THAP6,0.073013914,0.528126827
ARHGAP8,0.022519325,0.700498448
CNDP1,-0.001363499,0.988294896
PSMC6,0.010077228,0.902868847
HADHA,0.048715908,0.308270766
SPATA6L,0.041992232,0.505444827
CRYBG3,-0.175121994,0.186063806
HELZ,-0.353360332,1.87E-08
RARS2,0.30953933,0.0060259
PEX3,0.210720871,0.053873227
MRGPRF,0.088538985,0.243252371
PCBP4,0.284145419,0.023604981
CASZ1,-0.038001029,0.775420613
RBBP9,-0.026532694,0.77192845
FGF12,-0.017126019,0.792204967
PYGL,-0.021937243,0.703008079
ABCA4,0.042556865,0.405501955
FAM153B,0.025551307,0.781414098
NUBP1,0.066862713,0.52887882
CARNMT1,0.025249289,0.789442251
KCNJ2,0.140210366,0.184786279
LYZ,0.081009337,0.243222793
PCK2,0.160720362,0.22584496
C1QL3,0.000625572,0.988083387
SEMA4B,0.019896331,0.876236604
ZFYVE28,-0.042077278,0.451605936
KCTD13,0.36308881,0.003636008
AC046185.1,0.142609385,0.423507559
BPGM,0.171249346,0.10215319
CPNE3,0.053880877,0.299214099
PTDSS2,0.286702636,0.014339386
GPR137,0.404736714,0.000437244
TMCC3,0.143391195,0.278867539
SRD5A1,-0.13258817,0.26252602
SYT1,0.161192553,0.171303242
FSIP1,-0.027705521,0.82424183
TLL2,0.050722708,0.555613247
PPAT,-0.063761166,0.245133819
ANKRD28,-0.311662663,4.77E-08
MON1A,0.21436253,0.082903958
AFAP1,0.000725125,0.992788995
DNAJA3,0.093002398,0.163678348
C20orf194,0.066378927,0.368465983
ZNF248,-0.002016663,0.986205802
WDFY1,-0.021523936,0.772526544
C19orf53,0.277777619,2.00E-05
CBWD1,0.156550123,0.053905354
CLEC4A,-0.103703498,0.247502697
LAT2,-0.103094615,0.495477362
TMEM184B,0.167855042,0.112263486
TXNDC12,0.261189078,0.000126653
ZKSCAN5,0.000814708,0.9913383
C6orf58,0.019891649,0.753556011
TM4SF19,0.048418995,0.625819359
PTPRH,0.136507429,0.362015944
SLC9A7,-0.077543416,0.471265909
DAZAP2,0.130223437,0.000467633
ZNF329,0.329292631,0.002658343
RPS6KA4,0.04853092,0.638994144
RPS10,0.37202056,2.80E-08
STX16,0.042529688,0.494493918
TTC9,0.081076168,0.529250772
AC005258.1,-0.01922653,0.860975263
ZNF429,-0.0010465,0.993003419
CACUL1,-0.039406126,0.445844042
HMGN5,0.144051372,0.142033542
PIGY,0.310955884,0.079332363
CD151,0.281164986,0.00547778
HIPK4,0.023115413,0.705219059
UNC79,0.021118922,0.700609824
HSPE1,0.080229461,0.391710621
GRHPR,0.291339953,0.000694149
IGSF6,0.127027876,0.257790211
TRIM72,-0.099744652,0.249635845
CNTN6,0.042942453,0.590710275
ZNF66,-0.09385821,0.152578149
ANKRD20A3,-0.094985363,0.179818458
CCAR1,-0.158710998,0.006890377
RBM42,0.225420908,0.003674586
AC003002.2,0.068190258,0.292463998
RNASEH2C,0.297002823,0.00015618
SPDYA,0.067182605,0.372705929
PROKR1,0,0.991114547
PURG,0.234869653,0.166290625
AP000781.2,-0.222635458,0.191015103
PIP4K2C,0.018642397,0.828138851
ACTL8,-0.10731648,0.127041009
SHISA7,0.024312358,0.730013775
GNG4,-0.090406389,0.209200286
HEXIM2,0.290657387,0.041624723
RNF187,0.09527934,0.096518649
MRPL44,0.117617224,0.147828378
TMEM52,0.084004411,0.321499964
ATP5L2,0,0.991162754
RYR1,0.040722143,0.475137495
UXT,0.310197332,2.10E-06
NGRN,0.01922232,0.735409738
CYBRD1,0.018669081,0.8236862
BCL6,-0.148777271,0.0052273
CD6,0.063751639,0.480501861
ICOS,-0.037016231,0.699374897
SLC7A5,-0.095626518,0.274274773
B3GALNT2,-0.290875124,0.000143679
SIGLEC1,0.000523216,0.991180267
EIF1AD,0.023161243,0.765926624
ARHGEF38,-0.074106546,0.386461362
CDKN3,0.22317141,0.0129642
ODF3L2,0.023453654,0.739146007
UPRT,0.03534249,0.713709715
CORIN,0.043500834,0.696686347
KCNE5,-0.023176148,0.727996428
ABI2,-0.057420282,0.288518988
DUS1L,0.065804745,0.399451677
FANCG,0.183714788,0.052601084
DNAJC19,0.169520971,0.156701959
FUCA1,0.013445484,0.775162891
RANBP10,0.151217753,0.024765205
SPSB4,0.022939886,0.875344812
DPH5,0.280955256,0.002931526
ITIH6,-0.022067254,0.695557154
CACFD1,0.293550259,0.071702536
FBXO18,0.121123725,0.059377088
CTR9,-0.004090162,0.939369667
ELAC1,0.183526995,0.094516987
STYX,0.122583793,0.073439016
SFXN2,0.010134162,0.898402294
TUBD1,0.187738318,0.09903229
CHN2,0.007923946,0.956562927
TMEM206,0.189949366,0.010091641
TREML2,0.122848565,0.497769575
FAM89B,0.413319753,0.004149556
ANKRD20A1,-0.036967805,0.509608933
DNAJC5,-0.05475385,0.387930582
MTRNR2L4,0.044600982,0.623775037
CST3,0.320074255,0.005764756
NLRP11,-0.136586861,0.430622076
AC005837.2,0.10297969,0.359958214
EGFL7,0.265346344,0.11760576
GPBP1L1,0.069446,0.154409016
COMMD9,0.357427943,0.000247651
PLEKHD1,-0.019608551,0.71427105
NOSTRIN,-0.01846325,0.746686662
ZNF556,0.039190453,0.495264368
NOA1,0.331420164,1.59E-05
EID3,0.00041359,0.989113153
CATSPERG,0.043021991,0.708427444
SDHD,0.33331611,2.36E-08
SNRPG,0.13583233,0.30715091
WNT7B,0.03908986,0.455872484
WBP2,0.223761371,0.001397998
AARS2,-0.017562725,0.839420571
DVL3,0.01168795,0.88532557
RHOA,0.074202926,0.038336499
SNRPD3,0.143103898,0.039277017
TEX12,0.018606162,0.747245679
CYSRT1,0.073011423,0.47802486
AL672142.1,-0.072235699,0.47091851
DNAJC25-GNG10,0.349252824,0.042639134
AQP11,-0.091707191,0.407407527
SYS1-DBNDD2,0.068718874,0.685478376
SLC2A11,0.439989172,0.003343747
HLA-DQB1,0.040535336,0.476302858
LRRC36,-0.050767826,0.526714122
TMC4,-0.018630972,0.712431754
CDKL3,0.233540756,0.191366801
ENGASE,0.106374393,0.490032941
CCER2,-0.06060696,0.467724789
PURB,-0.227533206,0.000250889
AC015688.5,-0.207487661,0.129065646
C10orf95,0.027771126,0.76584925
PMPCB,0.220069172,0.000205499
RPEL1,-0.020916754,0.71234218
AC010615.4,0.019532517,0.721634113
C2orf50,0.018831534,0.806201869
ABCA10,-0.037952585,0.500412585
STYXL1,0.282023962,0.001147939
CECR6,-0.18185985,0.244973152
TBC1D3K,-0.018381748,0.748895067
SLC22A13,0.025041054,0.589117121
GALNTL6,0.000749139,0.989404303
MRAS,0.037461999,0.545786142
GDF9,-0.0836302,0.551641015
CUL9,-0.041430368,0.715271153
